Release,Class_Name,LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.DAO,6,32,32.00,32.00,1516.00,15,15,1,1,4,1,1,0,6,1516,0.0000,0,1,1,32,32,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.Task,27,98,37.00,43.00,762.50,15,1,2,2,10,2,7,6,0,1516,0.5364,1,2,1,98,86,0
syncope-1.0.0-incubating,org.apache.syncope.client.http.HttpClientParams,8,35,16.50,17.00,8.00,6,1,2,2,2,2,1,5,0,13,0.3160,0,2,2,35,33,0
syncope-1.0.0-incubating,org.apache.syncope.client.to.WorkflowDefinitionTO,17,46,46.00,46.00,1516.00,15,15,1,1,4,2,1,0,2,1516,0.0000,1,1,1,46,46,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.data.SchemaDataBinder,44,115,115.00,115.00,1516.00,15,15,1,1,9,1,13,17,4,1516,0.0000,0,1,1,115,115,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.ResourceModalPage,62,167,82.50,83.00,759.50,15,2,2,2,2,3,16,4,0,1516,0.0936,4,2,2,167,165,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.activiti.SyncopeEntitiesVariableType,5,35,35.00,35.00,1516.00,15,15,1,1,1,2,2,0,0,1516,0.0000,0,1,1,35,35,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.role.RAttrValue,16,59,28.50,29.00,759.00,15,13,2,2,4,3,8,2,1,1516,0.3576,0,2,2,59,55,0
syncope-1.0.0-incubating,org.apache.syncope.core.policy.PolicyEvaluator,70,150,40.67,45.33,506.33,15,13,2,2,22,1,10,22,0,1516,0.7486,5,3,2,150,123,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.controller.ResourceController,108,287,141.50,142.50,763.50,15,2,2,2,20,2,31,28,0,1516,0.6094,5,2,2,287,244,0
syncope-1.0.0-incubating,org.apache.syncope.console.commons.PreferenceManager,107,338,60.00,86.33,507.00,15,1,3,3,22,1,9,34,31,1516,1.3222,6,3,2,338,200,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.controller.AuthenticationController,17,66,66.00,66.00,1516.00,15,15,1,1,3,2,8,7,1,1516,0.0000,0,1,1,66,66,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.user.UDerAttr,23,69,31.50,33.00,762.50,15,13,2,2,6,3,6,2,2,1516,0.5970,1,2,2,69,59,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.VirSchemaDAO,7,38,38.00,38.00,1516.00,15,15,1,1,5,1,4,0,10,1516,0.0000,0,1,1,38,38,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.controller.TaskController,228,461,461.00,461.00,1516.00,15,15,1,1,43,2,35,44,0,1516,0.0000,14,1,1,461,461,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.role.RSchema,2,28,28.00,28.00,1516.00,15,15,1,1,0,3,3,0,0,1516,0.0000,67,1,1,28,28,0
syncope-1.0.0-incubating,org.apache.syncope.core.policy.AccountPolicyEnforcer,58,135,135.00,135.00,1516.00,15,15,1,1,25,2,15,31,0,1516,0.0000,6,1,1,135,135,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.user.SyncopeUser,302,637,143.25,151.25,385.00,15,6,3,3,97,3,31,66,1259,1516,0.7943,44,4,3,637,544,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.AbstractSchemaModalPage,12,50,50.00,50.00,1516.00,15,15,1,1,3,3,7,0,1,1516,0.0000,8,1,1,50,50,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.UserRequest,33,91,91.00,91.00,1516.00,15,15,1,1,11,2,11,4,0,1516,0.0000,0,1,1,91,91,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.panels.SyncTasks,149,341,147.50,159.00,761.50,15,12,2,2,1,2,24,15,0,1516,0.6646,12,2,2,341,282,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.WorkflowResult,42,89,89.00,89.00,1516.00,15,15,1,1,11,1,2,4,23,1516,0.0000,0,1,1,89,89,0
syncope-1.0.0-incubating,org.apache.syncope.client.to.WorkflowFormPropertyTO,77,133,133.00,133.00,1516.00,15,15,1,1,22,2,2,2,170,1516,0.0000,1,1,1,133,133,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.ConnInstanceDAO,6,34,34.00,34.00,1516.00,15,15,1,1,4,1,2,0,6,1516,0.0000,0,1,1,34,34,0
syncope-1.0.0-incubating,org.apache.syncope.types.AccountPolicySpec,85,175,175.00,175.00,1516.00,15,15,1,1,24,3,2,0,170,1516,0.0000,1,1,1,175,175,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.activiti.Create,9,41,41.00,41.00,1516.00,15,15,1,1,1,2,5,5,0,1516,0.0000,0,1,1,41,41,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.TaskExec,17,64,64.00,64.00,1516.00,15,15,1,1,4,3,5,2,0,1516,0.0000,0,1,1,64,64,0
syncope-1.0.0-incubating,org.apache.syncope.console.rest.LoggerRestClient,30,92,40.00,43.00,771.00,15,6,2,2,9,2,8,12,21,1516,0.7348,0,2,2,92,73,0
syncope-1.0.0-incubating,org.apache.syncope.core.util.multiparent.MultiParentNode,60,152,53.00,64.50,761.50,15,13,2,2,19,1,2,6,57,1516,0.8504,1,2,2,152,110,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.WorkflowException,6,42,42.00,42.00,1516.00,15,15,1,1,1,3,0,0,0,1516,0.0000,0,1,1,42,42,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.Configuration,401,757,235.00,243.67,514.67,15,4,3,3,3,6,35,18,0,1516,0.3764,19,3,2,757,711,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.Users,77,158,77.00,78.00,761.50,15,12,2,2,5,3,14,14,3,1516,0.1703,0,2,2,158,154,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.Report,79,145,145.00,145.00,1516.00,15,15,1,1,27,2,10,17,47,1516,0.0000,3,1,1,145,145,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.WelcomePage,9,47,22.50,23.00,771.00,15,6,2,2,1,2,5,2,0,1516,0.2539,2,2,2,47,45,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.ReportletConfInstance,21,65,65.00,65.00,1516.00,15,15,1,1,7,2,8,2,6,1516,0.0000,1,1,1,65,65,0
