LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
27,98,37.0,43.0,762.5,15,1,2,2,10,2,7,6,0,1516,0.5364,0,2,1,98,86,0
17,46,46.0,46.0,1516.0,15,15,1,1,4,2,1,0,2,1516,0.0,0,1,1,46,46,0
62,167,82.5,83.0,759.5,15,2,2,2,2,3,16,4,0,1516,0.0936,0,2,2,167,165,0
70,150,40.67,45.33,506.33,15,13,2,2,22,1,10,22,0,1516,0.7486,0,3,2,150,123,0
108,287,141.5,142.5,763.5,15,2,2,2,20,2,31,28,0,1516,0.6094,0,2,2,287,244,0
107,338,60.0,86.33,507.0,15,1,3,3,22,1,9,34,31,1516,1.3222,0,3,2,338,200,0
23,69,31.5,33.0,762.5,15,13,2,2,6,3,6,2,2,1516,0.597,0,2,2,69,59,0
228,461,461.0,461.0,1516.0,15,15,1,1,43,2,35,44,0,1516,0.0,0,1,1,461,461,0
2,28,28.0,28.0,1516.0,15,15,1,1,0,3,3,0,0,1516,0.0,0,1,1,28,28,0
58,135,135.0,135.0,1516.0,15,15,1,1,25,2,15,31,0,1516,0.0,0,1,1,135,135,0
302,637,143.25,151.25,385.0,15,6,3,3,97,3,31,66,1259,1516,0.7943,0,4,3,637,544,0
12,50,50.0,50.0,1516.0,15,15,1,1,3,3,7,0,1,1516,0.0,0,1,1,50,50,0
149,341,147.5,159.0,761.5,15,12,2,2,1,2,24,15,0,1516,0.6646,0,2,2,341,282,0
77,133,133.0,133.0,1516.0,15,15,1,1,22,2,2,2,170,1516,0.0,0,1,1,133,133,0
85,175,175.0,175.0,1516.0,15,15,1,1,24,3,2,0,170,1516,0.0,0,1,1,175,175,0
60,152,53.0,64.5,761.5,15,13,2,2,19,1,2,6,57,1516,0.8504,0,2,2,152,110,0
401,757,235.0,243.67,514.67,15,4,3,3,3,6,35,18,0,1516,0.3764,0,3,2,757,711,0
79,145,145.0,145.0,1516.0,15,15,1,1,27,2,10,17,47,1516,0.0,0,1,1,145,145,0
9,47,22.5,23.0,771.0,15,6,2,2,1,2,5,2,0,1516,0.2539,0,2,2,47,45,0
21,65,65.0,65.0,1516.0,15,15,1,1,7,2,8,2,6,1516,0.0,0,1,1,65,65,0
80,189,189.0,189.0,1516.0,15,15,1,1,19,2,13,13,105,1516,0.0,0,1,1,189,189,0
54,144,144.0,144.0,1516.0,15,15,1,1,9,2,15,15,0,1516,0.0,0,1,1,144,144,0
17,52,52.0,52.0,1516.0,15,15,1,1,4,2,4,0,2,1516,0.0,0,1,1,52,52,0
43,96,47.0,47.5,760.0,15,13,1,1,5,4,6,7,3,1516,0.1461,0,2,2,96,94,0
401,697,328.5,338.5,761.0,15,10,2,2,81,2,36,111,190,1516,0.3563,0,2,2,697,650,0
276,506,506.0,506.0,1516.0,15,15,1,1,3,5,24,14,0,1516,0.0,0,1,1,506,506,0
130,213,213.0,213.0,1516.0,15,15,1,1,37,4,6,17,344,1516,0.0,0,1,1,213,213,0
268,483,483.0,483.0,1516.0,15,15,1,1,3,6,25,14,0,1516,0.0,0,1,1,483,483,0
26,59,59.0,59.0,1516.0,15,15,1,1,7,1,1,0,15,1516,0.0,0,1,1,59,59,0
34,92,92.0,92.0,1516.0,15,15,1,1,12,1,10,9,0,1516,0.0,0,1,1,92,92,0
3,31,31.0,31.0,1516.0,15,15,1,1,0,3,3,0,0,1516,0.0,0,1,1,31,31,0
33,72,72.0,72.0,1516.0,15,15,1,1,13,1,1,2,2,1516,0.0,0,1,1,72,72,0
130,295,131.5,139.5,758.5,15,14,2,2,4,2,18,14,1,1516,0.4953,0,2,2,295,263,0
105,235,73.67,76.0,515.67,15,1,3,3,12,2,24,21,24,1516,0.361,0,3,2,235,221,0
25,99,99.0,99.0,1516.0,15,15,1,1,7,1,1,3,2,1516,0.0,0,1,1,99,99,0
111,211,211.0,211.0,1516.0,15,15,1,1,1,3,15,4,0,1516,0.0,0,1,1,211,211,0
128,271,125.5,130.5,758.5,15,13,1,1,36,2,2,6,402,1516,0.7627,0,2,2,271,211,0
52,114,114.0,114.0,1516.0,15,15,1,1,14,2,12,5,43,1516,0.0,0,1,1,114,114,0
117,273,83.0,87.0,511.67,15,1,3,3,1,2,21,12,0,1516,0.6706,0,3,3,273,234,0
126,232,232.0,232.0,1516.0,15,15,1,1,29,2,17,45,1,1516,0.0,0,1,1,232,232,0
68,119,119.0,119.0,1516.0,15,15,1,1,17,1,7,21,4,1516,0.0,0,1,1,119,119,0
89,194,194.0,194.0,1516.0,15,15,1,1,1,3,17,12,0,1516,0.0,0,1,1,194,194,0
37,100,100.0,100.0,1516.0,15,15,1,1,1,2,16,6,0,1516,0.0,0,1,1,100,100,0
10,40,40.0,40.0,1516.0,15,15,1,1,3,3,2,0,1,1516,0.0,0,1,1,40,40,0
10,40,40.0,40.0,1516.0,15,15,1,1,3,3,2,0,1,1516,0.0,0,1,1,40,40,0
95,229,111.5,113.0,767.5,15,13,1,1,15,2,20,33,0,1516,0.175,0,2,2,229,223,0
23,69,31.5,33.0,762.5,15,13,2,2,6,3,6,2,2,1516,0.597,0,2,2,69,59,0
228,436,135.33,140.33,512.33,15,4,2,2,72,1,29,71,26,1516,0.4184,0,3,2,436,404,0
135,292,137.0,141.5,761.5,15,12,2,2,1,2,24,15,0,1516,0.4776,0,2,2,292,262,0
8,31,31.0,31.0,1516.0,15,15,1,1,2,3,0,0,1,1516,0.0,0,1,1,31,31,0
3,32,32.0,32.0,1516.0,15,15,1,1,0,3,4,0,0,1516,0.0,0,1,1,32,32,0
17,51,51.0,51.0,1516.0,15,15,1,1,4,3,4,0,2,1516,0.0,0,1,1,51,51,0
55,111,111.0,111.0,1516.0,15,15,1,1,7,5,7,10,6,1516,0.0,0,1,1,111,111,0
110,256,100.0,114.0,760.0,15,14,2,2,26,2,14,33,89,1516,0.8464,0,2,1,256,186,0
62,135,135.0,135.0,1516.0,15,15,1,1,17,1,2,22,21,1516,0.0,0,1,1,135,135,0
