LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
6,32,32.0,32.0,1516.0,15,15,1,1,4,1,1,0,6,1516,0.0,0,1,1,32,32,0
8,35,16.5,17.0,8.0,6,1,2,2,2,2,1,5,0,13,0.316,0,2,2,35,33,0
44,115,115.0,115.0,1516.0,15,15,1,1,9,1,13,17,4,1516,0.0,0,1,1,115,115,0
5,35,35.0,35.0,1516.0,15,15,1,1,1,2,2,0,0,1516,0.0,0,1,1,35,35,0
16,59,28.5,29.0,759.0,15,13,2,2,4,3,8,2,1,1516,0.3576,0,2,2,59,55,0
17,66,66.0,66.0,1516.0,15,15,1,1,3,2,8,7,1,1516,0.0,0,1,1,66,66,0
7,38,38.0,38.0,1516.0,15,15,1,1,5,1,4,0,10,1516,0.0,0,1,1,38,38,0
33,91,91.0,91.0,1516.0,15,15,1,1,11,2,11,4,0,1516,0.0,0,1,1,91,91,0
42,89,89.0,89.0,1516.0,15,15,1,1,11,1,2,4,23,1516,0.0,0,1,1,89,89,0
6,34,34.0,34.0,1516.0,15,15,1,1,4,1,2,0,6,1516,0.0,0,1,1,34,34,0
9,41,41.0,41.0,1516.0,15,15,1,1,1,2,5,5,0,1516,0.0,0,1,1,41,41,0
17,64,64.0,64.0,1516.0,15,15,1,1,4,3,5,2,0,1516,0.0,0,1,1,64,64,0
30,92,40.0,43.0,771.0,15,6,2,2,9,2,8,12,21,1516,0.7348,0,2,2,92,73,0
6,42,42.0,42.0,1516.0,15,15,1,1,1,3,0,0,0,1516,0.0,0,1,1,42,42,0
77,158,77.0,78.0,761.5,15,12,2,2,5,3,14,14,3,1516,0.1703,0,2,2,158,154,0
8,37,37.0,37.0,1516.0,15,15,1,1,2,1,0,0,0,1516,0.0,0,1,1,37,37,0
4,28,28.0,28.0,1516.0,15,15,1,1,1,2,2,0,0,1516,0.0,0,1,1,28,28,0
5,31,31.0,31.0,1516.0,15,15,1,1,1,2,2,1,0,1516,0.0,0,1,1,31,31,0
1,35,35.0,35.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,35,35,0
8,33,33.0,33.0,1516.0,15,15,1,1,2,2,2,0,1,1516,0.0,0,1,1,33,33,0
5,31,31.0,31.0,1516.0,15,15,1,1,3,1,0,0,3,1516,0.0,0,1,1,31,31,0
9,32,32.0,32.0,1516.0,15,15,1,1,2,3,0,0,1,1516,0.0,0,1,1,32,32,0
21,56,27.0,27.5,758.5,15,4,2,2,7,2,4,7,1,1516,0.2223,0,2,2,56,54,0
6,59,59.0,59.0,1516.0,15,15,1,1,4,1,3,0,6,1516,0.0,0,1,1,59,59,0
9,32,32.0,32.0,1516.0,15,15,1,1,2,3,0,0,1,1516,0.0,0,1,1,32,32,0
31,116,52.0,55.0,771.0,15,6,2,2,7,2,5,6,10,1516,0.7355,0,2,2,116,92,0
52,143,143.0,143.0,1516.0,15,15,1,1,9,2,14,16,0,1516,0.0,0,1,1,143,143,0
7,38,38.0,38.0,1516.0,15,15,1,1,5,1,4,0,10,1516,0.0,0,1,1,38,38,0
16,59,28.5,29.0,759.0,15,13,2,2,4,3,8,2,1,1516,0.3576,0,2,2,59,55,0
29,71,71.0,71.0,1516.0,15,15,1,1,6,2,7,12,1,1516,0.0,0,1,1,71,71,0
10,60,16.0,18.0,518.33,15,6,3,3,1,3,5,10,0,1516,1.2014,0,3,2,60,41,0
92,221,221.0,221.0,1516.0,15,15,1,1,16,1,21,26,0,1516,0.0,0,1,1,221,221,0
12,43,43.0,43.0,1516.0,15,15,1,1,3,2,4,4,1,1516,0.0,0,1,1,43,43,0
1,26,26.0,26.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,26,26,0
17,71,31.5,33.5,759.5,15,0,2,2,6,1,6,0,15,1516,0.4645,0,2,2,71,64,1
44,87,87.0,87.0,1516.0,15,15,1,1,12,2,2,3,6,1516,0.0,0,1,1,87,87,0
7,36,36.0,36.0,1516.0,15,15,1,1,5,1,2,0,10,1516,0.0,0,1,1,36,36,0
3,40,40.0,40.0,1516.0,15,15,1,1,1,1,2,0,0,1516,0.0,0,1,1,40,40,0
22,67,67.0,67.0,1516.0,15,15,1,1,3,2,4,1,3,1516,0.0,0,1,1,67,67,0
9,32,32.0,32.0,1516.0,15,15,1,1,2,3,0,0,1,1516,0.0,0,1,1,32,32,0
11,39,39.0,39.0,1516.0,15,15,1,1,3,2,4,1,1,1516,0.0,0,1,1,39,39,0
15,45,45.0,45.0,1516.0,15,15,1,1,4,1,3,1,0,1516,0.0,0,1,1,45,45,0
8,34,34.0,34.0,1516.0,15,15,1,1,2,3,2,0,1,1516,0.0,0,1,1,34,34,0
39,139,37.0,41.67,515.0,15,6,3,3,11,2,6,6,45,1516,0.9675,0,3,2,139,102,0
